5.1,3.5,1.4,0.2,Good
4.9,3.0,1.4,0.2,Good
4.7,3.2,1.3,0.2,Good
4.6,3.1,1.5,0.2,Good
5.0,3.6,1.4,0.2,Good
5.4,3.9,1.7,0.4,Good
4.6,3.4,1.4,0.3,Good
5.0,3.4,1.5,0.2,Good
4.4,2.9,1.4,0.2,Good
4.9,3.1,1.5,0.1,Good
5.4,3.7,1.5,0.2,Good
4.8,3.4,1.6,0.2,Good
4.8,3.0,1.4,0.1,Good
4.3,3.0,1.1,0.1,Good
5.8,4.0,1.2,0.2,Good
5.7,4.4,1.5,0.4,Good
5.4,3.9,1.3,0.4,Good
5.1,3.5,1.4,0.3,Good
5.7,3.8,1.7,0.3,Good
5.1,3.8,1.5,0.3,Good
5.4,3.4,1.7,0.2,Good
5.1,3.7,1.5,0.4,Good
4.6,3.6,1.0,0.2,Good
5.1,3.3,1.7,0.5,Good
4.8,3.4,1.9,0.2,Good
5.0,3.0,1.6,0.2,Good
5.0,3.4,1.6,0.4,Good
5.2,3.5,1.5,0.2,Good
5.2,3.4,1.4,0.2,Good
4.7,3.2,1.6,0.2,Good
4.8,3.1,1.6,0.2,Good
5.4,3.4,1.5,0.4,Good
5.2,4.1,1.5,0.1,Good
5.5,4.2,1.4,0.2,Good
4.9,3.1,1.5,0.1,Good
5.0,3.2,1.2,0.2,Good
5.5,3.5,1.3,0.2,Good
4.9,3.1,1.5,0.1,Good
4.4,3.0,1.3,0.2,Good
5.1,3.4,1.5,0.2,Good
5.0,3.5,1.3,0.3,Good
4.5,2.3,1.3,0.3,Good
4.4,3.2,1.3,0.2,Good
5.0,3.5,1.6,0.6,Good
5.1,3.8,1.9,0.4,Good
4.8,3.0,1.4,0.3,Good
5.1,3.8,1.6,0.2,Good
4.6,3.2,1.4,0.2,Good
5.3,3.7,1.5,0.2,Good
5.0,3.3,1.4,0.2,Good
7.0,3.2,4.7,1.4,Bad
6.4,3.2,4.5,1.5,Bad
6.9,3.1,4.9,1.5,Bad
5.5,2.3,4.0,1.3,Bad
6.5,2.8,4.6,1.5,Bad
5.7,2.8,4.5,1.3,Bad
6.3,3.3,4.7,1.6,Bad
4.9,2.4,3.3,1.0,Bad
6.6,2.9,4.6,1.3,Bad
5.2,2.7,3.9,1.4,Bad
5.0,2.0,3.5,1.0,Bad
5.9,3.0,4.2,1.5,Bad
6.0,2.2,4.0,1.0,Bad
6.1,2.9,4.7,1.4,Bad
